id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575646,Passer,domesticus,,House Sparrow,Alain Beuget,France,"Plourhan, Côtes-d'Armor, Bretagne",48.6131,-2.8751,70,"call, male",//www.xeno-canto.org/575646,//www.xeno-canto.org/575646/download,XC575646-moineau domestique mâle 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC575646-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC575646-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC575646-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC575646-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,11:00,2020-07-14,2020-07-14,['Fringilla coelebs'],,yes,unknown
572199,Passer,domesticus,,House Sparrow,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0803,1.1038,20,song,//www.xeno-canto.org/572199,//www.xeno-canto.org/572199/download,XC572199-pardal 28 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572199-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572199-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572199-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572199-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,20:00,2020-06-28,2020-06-28,[''],,yes,no
577878,Passer,domesticus,indicus,House Sparrow,Rajgopal Patil,India,"Kothrud, Pune, Maharashtra",18.5013,73.8049,600,call,//www.xeno-canto.org/577878,//www.xeno-canto.org/577878/download,XC577878-Sparrow-House-Passer-domesticus-Kothrud--Pune--Maharashtra-20110118-035-RNP.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577878-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577878-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577878-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577878-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,07:12,2011-01-18,2020-07-21,[''],Habitat: Suburban residential.,no,no
577876,Passer,domesticus,indicus,House Sparrow,Rajgopal Patil,India,"Kothrud, Pune, Maharashtra",18.5013,73.8049,600,call,//www.xeno-canto.org/577876,//www.xeno-canto.org/577876/download,XC577876-Sparrow-House-Passer-domesticus-Kothrud--Pune--Maharashtra-20110118-034-RNP.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577876-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577876-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577876-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC577876-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,07:11,2011-01-18,2020-07-21,['Corvus splendens'],Habitat: Suburban residential.,no,no
577264,Passer,domesticus,,House Sparrow,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7381,-3.7475,950,call,//www.xeno-canto.org/577264,//www.xeno-canto.org/577264/download,XC577264-20 jun. 13.01 gorrion 3 alarm.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577264-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577264-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577264-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577264-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:30,13:01,2020-06-20,2020-07-19,[''],Grabado en Urbanización.,yes,no
577017,Passer,domesticus,,House Sparrow,Garry Bakker,Morocco,"Province d'Errachidia, Drâa-Tafilalet",31.214,-3.988,750,song,//www.xeno-canto.org/577017,//www.xeno-canto.org/577017/download,XC577017-30879.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JXPGRIPRNX/ffts/XC577017-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JXPGRIPRNX/ffts/XC577017-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JXPGRIPRNX/ffts/XC577017-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JXPGRIPRNX/ffts/XC577017-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,06:00,2014-03-25,2020-07-18,['Streptopelia decaocto'],Dawn chorus of over a 100 House Sparrows present.,yes,no
576358,Passer,domesticus,,House Sparrow,Manuel Grosselet,Mexico,MX -  Oaxaca - SAn Agustin Etla viejo camino a San Pablo,17.1733,-96.7706,1700,"adult, male, song",//www.xeno-canto.org/576358,//www.xeno-canto.org/576358/download,XC576358-House Sparrow song saetla july 16 757_0728.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576358-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576358-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576358-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576358-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,08:00,2020-07-16,2020-07-16,['Haemorhous mexicanus'],"Wildtronics mono amplified, Tascam DR05. 
Normalized -10db, aufilter in low frequency.",yes,no
576357,Passer,domesticus,,House Sparrow,Manuel Grosselet,Mexico,MX -  Oaxaca - SAn Agustin Etla viejo camino a San Pablo,17.1733,-96.7706,1700,"adult, call, male",//www.xeno-canto.org/576357,//www.xeno-canto.org/576357/download,XC576357-House Sparrow call sa etla july 16 727_0722.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576357-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576357-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576357-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC576357-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,07:30,2020-07-16,2020-07-16,[''],"Wildtronics mono amplified, Tascam DR05. 
Normalized -10db, aufilter in low frequency.",yes,no
575359,Passer,domesticus,,House Sparrow,Manuel Grosselet,Mexico,"Concordia Municipality, Sinaloa",23.5658,-105.8415,2000,"adult, call, male",//www.xeno-canto.org/575359,//www.xeno-canto.org/575359/download,XC575359-House Sparrow call snaloa july 10 640_0634.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575359-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575359-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575359-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575359-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,06:30,2020-07-10,2020-07-13,[''],"wildtronics mono amplified, tascam DR05",yes,no
573911,Passer,domesticus,,House Sparrow,Samuel Levy,United Kingdom,"Great Britain (near  Poole), Dorset, England",50.7407,-1.896,50,call,//www.xeno-canto.org/573911,//www.xeno-canto.org/573911/download,XC573911-House Sparrow.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573911-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573911-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573911-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573911-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,12:00,2020-07-06,2020-07-06,[''],"Unmodified recording using Tascam DR-05x 
Flock of birds in hedgerow near the university",yes,no
