id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
577694,Sylvia,curruca,,Lesser Whitethroat,Simon Elliott,United Kingdom,"Great Britain (near  Bodham), Norfolk, England",52.9016,1.1522,60,"begging call, juvenile",//www.xeno-canto.org/577694,//www.xeno-canto.org/577694/download,XC577694-LW-06.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577694-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577694-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577694-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577694-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:10,05:30,2020-07-15,2020-07-20,[''],fledged young being fed,yes,no
577677,Sylvia,curruca,curruca,Lesser Whitethroat,Andrew Harrop,United Kingdom,"Great Britain (near  Caldecott), Leicestershire, England",52.5495,-0.7436,70,call,//www.xeno-canto.org/577677,//www.xeno-canto.org/577677/download,XC577677-200720-LW clip.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC577677-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC577677-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC577677-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC577677-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,11:00,2020-07-20,2020-07-20,[''],Calls from bird in hedgerow.,yes,no
573324,Sylvia,curruca,curruca,Lesser Whitethroat,Jarek Matusiak,Poland,"Powiat łowicki, województwo łódzkie",52.109,19.9416,80,"adult, call, male",//www.xeno-canto.org/573324,//www.xeno-canto.org/573324/download,XC573324-JAREK-MATUSIAK-713 (2) piegża.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC573324-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC573324-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC573324-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC573324-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,17:00,2020-07-03,2020-07-04,[''],,unknown,unknown
570486,Sylvia,curruca,curruca,Lesser Whitethroat,Stuart Fisher,United Kingdom,"Great Britain, Norfolk, England",52.7652,0.4903,30,"adult, male, song",//www.xeno-canto.org/570486,//www.xeno-canto.org/570486/download,XC570486-LesserWhitethroatGW16th.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570486-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570486-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570486-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570486-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:06,10:30,2020-06-16,2020-06-21,"['Periparus ater', 'Erithacus rubecula', 'Turdus merula', 'Emberiza citrinella']",,yes,no
569702,Sylvia,curruca,,Lesser Whitethroat,Michał Jezierski,Poland,"Leszno, Leszno, wielkopolskie",51.8638,16.5974,110,"male, song",//www.xeno-canto.org/569702,//www.xeno-canto.org/569702/download,XC569702-15062020_sylcur_song_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC569702-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC569702-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC569702-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC569702-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:02,18:55,2020-06-15,2020-06-18,"['Emberiza citrinella', 'Emberiza calandra']","**Comments**: None.

**Recording modifications**:  Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: Bird in a suburban garden. Singing from the top of a spruce in the garden.

**Behaviour**: Singing while perched atop a tree.

**Sex (with ID cues)**: Male, as per Collins Bird Guide.

**Weather and other conditions**: Cloudy afternoon.

**Comments on other birds**: Yellowhammer and Corn Bunting singing throughout.",yes,no
569410,Sylvia,curruca,curruca,Lesser Whitethroat,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,"complex song, song",//www.xeno-canto.org/569410,//www.xeno-canto.org/569410/download,XC569410-Fauvette babillarde chant et chant complexe +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569410-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569410-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569410-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569410-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:17,07:30,2020-06-14,2020-06-17,[''],,yes,no
569407,Sylvia,curruca,curruca,Lesser Whitethroat,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,"complex song, song",//www.xeno-canto.org/569407,//www.xeno-canto.org/569407/download,XC569407-Fauvette babillarde chant complexe +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569407-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569407-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569407-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569407-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,07:30,2020-06-14,2020-06-17,[''],,yes,no
569405,Sylvia,curruca,curruca,Lesser Whitethroat,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,song,//www.xeno-canto.org/569405,//www.xeno-canto.org/569405/download,XC569405-Fauvette babillarde chant ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569405-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569405-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569405-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569405-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:59,07:30,2020-06-14,2020-06-17,[''],,yes,no
569403,Sylvia,curruca,curruca,Lesser Whitethroat,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,song,//www.xeno-canto.org/569403,//www.xeno-canto.org/569403/download,XC569403-Fauvette babillarde chant ++ 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569403-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569403-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569403-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569403-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:22,07:30,2020-06-14,2020-06-17,[''],,yes,no
568733,Sylvia,curruca,,Lesser Whitethroat,Arjun Dutta,United Kingdom,"Beddington Farm, London",51.382,-0.1523,30,"adult, male, song",//www.xeno-canto.org/568733,//www.xeno-canto.org/568733/download,XC568733-Lesser Whitethroat 1158.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC568733-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC568733-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC568733-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC568733-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:17,11:58,2020-06-14,2020-06-15,[''],"Edited slightly, with some background noise of transport removed. Adult was singing in a patch of woodland, likely breeding nearby. Recorded using Tascam DR-05x recorder.",yes,no
