id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573570,Aegithalos,caudatus,,Long-tailed Tit,Urban Lundström,Sweden,"Bredvik, Nordmaling Municipality, Västerbottens län",63.5399,19.6086,10,call,//www.xeno-canto.org/573570,//www.xeno-canto.org/573570/download,XC573570-20200705-082519.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC573570-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC573570-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC573570-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC573570-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,08:25,2020-07-05,2020-07-05,[''],,yes,no
570922,Aegithalos,caudatus,,Long-tailed Tit,Byoungsoon Jang,South Korea,"Seoul, Seoul",37.4574,126.9357,200,call,//www.xeno-canto.org/570922,//www.xeno-canto.org/570922/download,XC570922-200623_19.1(long-tailed tit).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC570922-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC570922-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC570922-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC570922-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:01,17:01,2020-06-23,2020-06-23,[''],,yes,no
570737,Aegithalos,caudatus,siculus,Long-tailed Tit,Lo Valvo Fabio,Italy,"Pollina, Provincia di Palermo, Sicilia",38.024,14.1525,20,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/570737,//www.xeno-canto.org/570737/download,XC570737-codibugnolo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLCUIQQSEZ/ffts/XC570737-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLCUIQQSEZ/ffts/XC570737-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLCUIQQSEZ/ffts/XC570737-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLCUIQQSEZ/ffts/XC570737-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:40,18:00,2020-06-21,2020-06-22,['Serinus serinus'],,yes,no
564408,Aegithalos,caudatus,,Long-tailed Tit,Jean-François Azens,France,"Montgardin, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.5315,6.253,1100,"adult, flight call, juvenile",//www.xeno-canto.org/564408,//www.xeno-canto.org/564408/download,XC564408-Mésanges longue queue Chaussins 01-06-20 19h07m08s.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC564408-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC564408-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC564408-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC564408-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,19:00,2020-06-01,2020-06-02,[''],,yes,no
573913,Aegithalos,caudatus,,Long-tailed Tit,Samuel Levy,United Kingdom,"Great Britain (near  Poole), Dorset, England",50.7385,-1.9024,40,"adult, call, juvenile",//www.xeno-canto.org/573913,//www.xeno-canto.org/573913/download,XC573913-Long-tailed Tit.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573913-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573913-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573913-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573913-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,11:30,2020-07-06,2020-07-06,[''],"Unmodified recording using Tascam DR-05x 
Mixed flock of Adults and Juvs in local woodland",yes,no
573912,Aegithalos,caudatus,,Long-tailed Tit,Samuel Levy,United Kingdom,"Great Britain (near  Poole), Dorset, England",50.7385,-1.9024,40,"adult, call, juvenile",//www.xeno-canto.org/573912,//www.xeno-canto.org/573912/download,XC573912-Long-tailed Tit with Chiffchaff.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573912-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573912-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573912-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OXOBWLVDLW/ffts/XC573912-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,11:30,2020-07-06,2020-07-06,['Phylloscopus collybita'],"Unmodified recording using Tascam DR-05x 
Mixed flock of Adults and Juvs in local woodland",yes,no
573673,Aegithalos,caudatus,,Long-tailed Tit,Gary Elton,United Kingdom,"Great Britain (near  Holme-next-the-Sea), Norfolk, England",52.9713,0.5412,0,"adult, call, sex uncertain",//www.xeno-canto.org/573673,//www.xeno-canto.org/573673/download,XC573673-Long-tailed tits Holme 20191119.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC573673-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC573673-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC573673-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC573673-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,10:00,2019-11-19,2020-07-05,['Anser brachyrhynchus'],,yes,no
572460,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572460,//www.xeno-canto.org/572460/download,XC572460-ltt-D65A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572460-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572460-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572460-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572460-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,4:38,08:00,2020-05-19,2020-06-29,"['Columba palumbus', 'Erithacus rubecula']",young leaving nest 18 days after hatching; unedited sequence; mic 5 cm from nest; 250Hz HPF,yes,no
572456,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572456,//www.xeno-canto.org/572456/download,XC572456-ltt-D62.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572456-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572456-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572456-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572456-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:11,05:30,2020-05-17,2020-06-29,['Columba palumbus'],begging calls 16 days after hatching; at rest calls; approx 5 nestlings;  mic 5 cm from nest. 250Hz HPF,yes,no
572453,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572453,//www.xeno-canto.org/572453/download,XC572453-ltt-D60.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572453-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572453-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572453-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572453-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,3:21,07:30,2020-05-15,2020-06-29,['Streptopelia decaocto'],begging calls 14 days after hatching; at rest calls; approx 5 nestlings;  mic 5 cm from nest. 250Hz HPF,yes,no
572450,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572450,//www.xeno-canto.org/572450/download,XC572450-ltt-D57B.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572450-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572450-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572450-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572450-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:36,06:00,2020-05-12,2020-06-29,['Coloeus monedula'],begging calls 11 days after hatching; approx 5 nestlings;  mic 5 cm from nest. 250Hz HPF,yes,no
572444,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572444,//www.xeno-canto.org/572444/download,XC572444-ltt-D53A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572444-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572444-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572444-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572444-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:27,06:00,2020-05-08,2020-06-29,"['Columba palumbus', 'Corvus frugilegus', 'Corvus corone']",begging calls 7 days after hatching; approx 5 nestlings; adult feeding calls;  mic 5 cm from nest. 250Hz HPF,yes,no
572440,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, hatchling or nestling, sex uncertain",//www.xeno-canto.org/572440,//www.xeno-canto.org/572440/download,XC572440-ltt-D46.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572440-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572440-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572440-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572440-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:22,06:00,2020-05-03,2020-06-29,"['Turdus merula', 'Corvus frugilegus']",begging calls 2 days after hatching; approx 5 nestlings; mic 5 cm from nest. 250Hz HPF,yes,no
572439,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"adult, begging call, bubbling song & begging call of incubating female, female, ",//www.xeno-canto.org/572439,//www.xeno-canto.org/572439/download,XC572439-ltt-D36c.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572439-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572439-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572439-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572439-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:19,10:00,2020-04-25,2020-06-29,['Columba palumbus'],bubbling song from incubating female being fed by male; female begging call sisisisi; mic 5 cm from nest,yes,no
572437,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"adult, begging call, bubbling song & begging call of incubating female, female, ",//www.xeno-canto.org/572437,//www.xeno-canto.org/572437/download,XC572437-ltt-D36b.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572437-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572437-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572437-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572437-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:34,10:00,2020-04-25,2020-06-29,['Troglodytes troglodytes'],bubbling song from incubating female being fed by male; female begging call sisisisi; male srrip call on arrival with food. mic 5 cm from nest,yes,no
572436,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"adult, begging call, bubbling song & begging call of incubating female, female, ",//www.xeno-canto.org/572436,//www.xeno-canto.org/572436/download,XC572436-ltt-D36a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572436-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572436-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572436-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572436-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:27,10:00,2020-04-25,2020-06-29,[''],bubbling song from incubating female being fed by male; female begging call sisisisi. male srrip call off mic. mic 5 cm from nest,yes,no
572435,Aegithalos,caudatus,,Long-tailed Tit,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"adult, begging call, call, female, incubating female, very close",//www.xeno-canto.org/572435,//www.xeno-canto.org/572435/download,XC572435-ltt-D42.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572435-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572435-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572435-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572435-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:15,06:00,2020-05-01,2020-06-29,[''],begging call of incubating female made towards male; mic at 5 cm from nest,yes,no
569048,Aegithalos,caudatus,,Long-tailed Tit,Tanguy Loïs,France,"Saint-Hilarion, Yvelines, Île-de-France",48.6302,1.7044,170,call,//www.xeno-canto.org/569048,//www.xeno-canto.org/569048/download,XC569048-mésange à longue queue.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC569048-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC569048-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC569048-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC569048-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:24,19:30,2020-06-16,2020-06-16,"['Turdus merula', 'Phylloscopus collybita']",,yes,no
568930,Aegithalos,caudatus,,Long-tailed Tit,Albert Lastukhin,Russian Federation,"Vodoleyevo, Mariinsko-Posadsky District, Chuvashia",56.1173,47.8488,80,"begging call, juvenile",//www.xeno-canto.org/568930,//www.xeno-canto.org/568930/download,"XC568930-Aegithalos caudatus  200613_007, BB juv.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568930-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568930-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568930-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568930-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:21,08:00,2020-06-13,2020-06-16,[''],,yes,no
568929,Aegithalos,caudatus,,Long-tailed Tit,Albert Lastukhin,Russian Federation,"Vodoleyevo, Mariinsko-Posadsky District, Chuvashia",56.1173,47.8488,80,"begging call, juvenile",//www.xeno-canto.org/568929,//www.xeno-canto.org/568929/download,"XC568929-Aegithalos caudatus  200613_007, A juv.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568929-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568929-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568929-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC568929-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:37,08:00,2020-06-13,2020-06-16,[''],,yes,no
564990,Aegithalos,caudatus,,Long-tailed Tit,Nelson Conceição,Portugal,"Ribeira da Assêca - Ponte São Domingos, Tavira, Faro",37.1538,-7.6735,10,"call, song",//www.xeno-canto.org/564990,//www.xeno-canto.org/564990/download,XC564990-200528-205510chapimrabilongo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC564990-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC564990-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC564990-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC564990-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,20:55,2020-05-28,2020-06-04,[''],"Recorder: Zoom H1n

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).",yes,no
