id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575159,Acrocephalus,palustris,,Marsh Warbler,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/575159,//www.xeno-canto.org/575159/download,XC575159-2020.07.10_11.30_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575159-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575159-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575159-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575159-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,11:30,2020-07-10,2020-07-12,['Troglodytes troglodytes'],,yes,no
574698,Acrocephalus,palustris,,Marsh Warbler,Bodo Sonnenburg,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",52.316,13.761,40,"adult, call",//www.xeno-canto.org/574698,//www.xeno-canto.org/574698/download,XC574698-sumpfrohr0512.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574698-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574698-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574698-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574698-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:20,05:12,2020-07-10,2020-07-10,"['Alauda arvensis', 'Emberiza citrinella', 'Turdus philomelos']",,yes,no
573905,Acrocephalus,palustris,,Marsh Warbler,Igor Uřinovský,Czech Republic,"Krčmaň, Olomouc, Olomoucký kraj",49.51,17.3227,200,song,//www.xeno-canto.org/573905,//www.xeno-canto.org/573905/download,XC573905-Rákosník zpěvný (6) MP3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC573905-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC573905-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC573905-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC573905-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:48,10:00,2020-07-06,2020-07-06,[''],,yes,no
572035,Acrocephalus,palustris,,Marsh Warbler,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,"call, song",//www.xeno-canto.org/572035,//www.xeno-canto.org/572035/download,XC572035-Rousserolle verderolle cris chants avec cris effarvate.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572035-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572035-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572035-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572035-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:27,21:30,2020-06-25,2020-06-27,['Acrocephalus scirpaceus'],Both species calling,yes,no
572034,Acrocephalus,palustris,,Marsh Warbler,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,song,//www.xeno-canto.org/572034,//www.xeno-canto.org/572034/download,XC572034-Rousserolle verderolle chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572034-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572034-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572034-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572034-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:16,21:30,2020-06-25,2020-06-27,[''],,yes,no
572033,Acrocephalus,palustris,,Marsh Warbler,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,call,//www.xeno-canto.org/572033,//www.xeno-canto.org/572033/download,XC572033-Rousserolle verderolle cris arriere plan.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572033-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572033-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572033-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572033-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:02,21:30,2020-06-25,2020-06-27,['Acrocephalus scirpaceus'],Both species calling,yes,no
572032,Acrocephalus,palustris,,Marsh Warbler,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,song,//www.xeno-canto.org/572032,//www.xeno-canto.org/572032/download,XC572032-Rousserolle verderolle chant 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572032-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572032-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572032-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572032-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:06,21:30,2020-06-25,2020-06-27,[''],,yes,no
572030,Acrocephalus,palustris,,Marsh Warbler,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,song,//www.xeno-canto.org/572030,//www.xeno-canto.org/572030/download,XC572030-Rousserolle verderolle chant 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572030-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572030-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572030-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572030-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:32,21:30,2020-06-25,2020-06-27,[''],,yes,no
571952,Acrocephalus,palustris,,Marsh Warbler,Petter Kappel,Sweden,"Strängnäs Municipality, Södermanlands län",59.3421,17.1937,10,song,//www.xeno-canto.org/571952,//www.xeno-canto.org/571952/download,"XC571952-20200627_080741_namnlöst_Gesta gård, Kärrsångare.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC571952-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC571952-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC571952-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC571952-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:33,08:07,2020-06-27,2020-06-27,[''],,no,unknown
571948,Acrocephalus,palustris,,Marsh Warbler,Gunnar Dolk,Sweden,"Rosendals slott,brofästet",59.3293,18.1172,20,"life stage uncertain, male, song",//www.xeno-canto.org/571948,//www.xeno-canto.org/571948/download,XC571948-AnyConv.com__Röst 114.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VHVQLSCSXO/ffts/XC571948-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VHVQLSCSXO/ffts/XC571948-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VHVQLSCSXO/ffts/XC571948-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VHVQLSCSXO/ffts/XC571948-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:24,05:00,2020-06-16,2020-06-27,[''],Recording not modified,yes,no
