id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
568128,Anthus,pratensis,,Meadow Pipit,Fabrizio Grieco,Netherlands,"Wageningen, Wageningen, Gelderland",51.9869,5.6297,0,"adult, sex uncertain, song",//www.xeno-canto.org/568128,//www.xeno-canto.org/568128/download,XC568128-1009 Unknown and curlew.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COVELWVTYW/ffts/XC568128-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COVELWVTYW/ffts/XC568128-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COVELWVTYW/ffts/XC568128-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COVELWVTYW/ffts/XC568128-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:31,07:30,2020-05-17,2020-06-13,['Numenius arquata'],"Bird was too far, could not recognize it. Small passerine.
Singing on a pole then in flight. See comments",yes,no
563124,Anthus,pratensis,,Meadow Pipit,Jérémy Simar,Belgium,"Couvin, Namur, Wallonie",50.0682,4.4478,190,song,//www.xeno-canto.org/563124,//www.xeno-canto.org/563124/download,XC563124-PIPIT FARLOUSE MSB1 DAILLY RESERVE DE LA PREE 27 05 20 XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IXQCADIBFB/ffts/XC563124-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IXQCADIBFB/ffts/XC563124-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IXQCADIBFB/ffts/XC563124-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IXQCADIBFB/ffts/XC563124-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,5:21,09:00,2020-05-27,2020-05-29,[''],,yes,no
574084,Anthus,pratensis,,Meadow Pipit,Stein Ø. Nilsen,Norway,"MOAN, Senja, Troms og Finnmark",69.4397,17.3524,30,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/574084,//www.xeno-canto.org/574084/download,XC574084-SNI-353_01-8kHZ-CALL-BERGSFJORD04072020-0700.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC574084-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC574084-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC574084-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC574084-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,06:00,2020-07-04,2020-07-07,['Phylloscopus trochilus'],Filtered low rumble,no,no
569763,Anthus,pratensis,,Meadow Pipit,Alain Malengreau,Belgium,"Bernissart, Hainaut, Wallonie",50.4764,3.7086,30,"male, song",//www.xeno-canto.org/569763,//www.xeno-canto.org/569763/download,XC569763-Pipit farlouse 200618_1100_1SA_Ecluse de Pommeroeul_ZOOM122.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC569763-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC569763-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC569763-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC569763-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,11:00,2020-06-18,2020-06-18,[''],"Part of the song. Bird was perched on a rock, windy conditions EM172+H5",yes,no
566723,Anthus,pratensis,,Meadow Pipit,Mr Mark Shorten,Ireland,"Ireland, Cork, County Cork",52.0561,-8.5312,240,"adult, male, song",//www.xeno-canto.org/566723,//www.xeno-canto.org/566723/download,XC566723-8june meadow pipit song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC566723-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC566723-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC566723-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC566723-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,09:00,2020-06-09,2020-06-09,[''],song flight,yes,no
565762,Anthus,pratensis,,Meadow Pipit,Rob van Bemmelen,Netherlands,"Schiermonnikoog, Schiermonnikoog, Friesland",53.5022,6.2696,0,"flight call, sex uncertain",//www.xeno-canto.org/565762,//www.xeno-canto.org/565762/download,XC565762-181020_23_Anthus_pratensis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565762-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565762-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565762-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565762-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,09:00,2018-10-20,2020-06-06,"['Fringilla coelebs', 'Anthus pratensis']",Aberrant call; bird seen.,yes,no
564618,Anthus,pratensis,,Meadow Pipit,Michael John O Mahony,Ireland,"Ireland, Cork, County Cork",52.0526,-8.5308,260,"adult, male, song",//www.xeno-canto.org/564618,//www.xeno-canto.org/564618/download,XC564618-Meadow Pipit 1st june 2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC564618-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC564618-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC564618-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC564618-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,05:30,2020-06-01,2020-06-02,[''],,no,no
561277,Anthus,pratensis,,Meadow Pipit,Krzysztof Deoniziak,Poland,"Gmina Gródek, Podlaskie Voivodeship",53.0216,23.7258,160,"adult, call, male",//www.xeno-canto.org/561277,//www.xeno-canto.org/561277/download,XC561277-anthus_pratensis_podlaskie_2020.05.23_0820.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561277-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561277-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561277-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561277-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:11,08:00,2020-05-23,2020-05-23,"['Alauda arvensis', 'Vanellus vanellus']",habitat: wet meadow,yes,no
561276,Anthus,pratensis,,Meadow Pipit,Krzysztof Deoniziak,Poland,"Gmina Gródek, Podlaskie Voivodeship",53.0216,23.7258,160,"adult, male, song",//www.xeno-canto.org/561276,//www.xeno-canto.org/561276/download,XC561276-anthus_pratensis_podlaskie_2020.05.23_0744.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561276-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561276-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561276-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC561276-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:28,07:30,2020-05-23,2020-05-23,"['Limosa limosa', 'Alauda arvensis', 'Vanellus vanellus']",habitat: wet meadow,yes,no
560896,Anthus,pratensis,,Meadow Pipit,Albert Noorlander,Netherlands,"Benschop, Lopik, Utrecht",52.0117,4.9285,0,alarm call,//www.xeno-canto.org/560896,//www.xeno-canto.org/560896/download,XC560896-Graspieper 20190928-01a Willeskop vluchtroep.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC560896-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC560896-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC560896-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC560896-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:01,08:30,2019-09-28,2020-05-23,[''],Anxiety call,yes,no
