id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575383,Vanellus,vanellus,,Northern Lapwing,Benoit Paepegaey,France,"Saint-Avertin, Indre-et-Loire, Centre-Val de Loire",47.3523,0.734,80,nocturnal flight call,//www.xeno-canto.org/575383,//www.xeno-canto.org/575383/download,XC575383-2020-07-12-23h44-vanneau-huppé.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZFHRWDKKKS/ffts/XC575383-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZFHRWDKKKS/ffts/XC575383-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZFHRWDKKKS/ffts/XC575383-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZFHRWDKKKS/ffts/XC575383-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,23:44,2020-07-12,2020-07-13,[''],,no,unknown
573355,Vanellus,vanellus,,Northern Lapwing,Maxime Pirio,France,"La Roche-sur-Yon, Vendée, Pays de la Loire",46.6621,-1.4207,60,nocturnal flight call,//www.xeno-canto.org/573355,//www.xeno-canto.org/573355/download,XC573355-NFC_VANVAN.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FWZHXTNMKN/ffts/XC573355-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FWZHXTNMKN/ffts/XC573355-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FWZHXTNMKN/ffts/XC573355-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FWZHXTNMKN/ffts/XC573355-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,23:45,2020-07-03,2020-07-04,[''],"High Pass filter 220 Hz
Pre-Amp 26 dB
Gain 16 dB",unknown,unknown
570640,Vanellus,vanellus,,Northern Lapwing,Frank Pierik,Netherlands,"Amersfoort, Amersfoort, Utrecht",52.1418,5.3724,30,nocturnal flight call,//www.xeno-canto.org/570640,//www.xeno-canto.org/570640/download,XC570640-210620 q 0027.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DFHRMHOGTL/ffts/XC570640-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DFHRMHOGTL/ffts/XC570640-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DFHRMHOGTL/ffts/XC570640-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DFHRMHOGTL/ffts/XC570640-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,00:27,2020-06-21,2020-06-21,[''],,no,no
567418,Vanellus,vanellus,,Northern Lapwing,Martijn Verdoes,Netherlands,"Nijmegen, Nijmegen, Gelderland",51.8346,5.8519,30,nocturnal flight call,//www.xeno-canto.org/567418,//www.xeno-canto.org/567418/download,XC567418-200610_0005_mystery.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC567418-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC567418-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC567418-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC567418-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,00:05,2020-06-10,2020-06-11,[''],,no,no
565813,Vanellus,vanellus,,Northern Lapwing,Twan Mols,Netherlands,"Werkendam, Land van Altena, Noord-Brabant",51.7797,4.7915,0,alarm call,//www.xeno-canto.org/565813,//www.xeno-canto.org/565813/download,"XC565813-200530_08,04h_kievit_biesbosch_gezien_1 ex_.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VOLIQOYWKG/ffts/XC565813-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VOLIQOYWKG/ffts/XC565813-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VOLIQOYWKG/ffts/XC565813-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VOLIQOYWKG/ffts/XC565813-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,08:00,2020-05-30,2020-06-06,['Anser anser'],"fader and high pass filter,",yes,unknown
577640,Vanellus,vanellus,,Northern Lapwing,Stein Ø. Nilsen,Norway,"FJELLBYGDA, Balsfjord kommune, Troms og Finnmark",69.3883,18.7122,140,"call, flight call, life stage uncertain, sex uncertain",//www.xeno-canto.org/577640,//www.xeno-canto.org/577640/download,XC577640-SNI-374_01-13VIPER-MALANGEN19072020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC577640-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC577640-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC577640-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC577640-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,01:30,2020-07-19,2020-07-20,[''],13 birds flying in circles and eventually took off south. Telinga stereo and Mixpre3 II,yes,no
576586,Vanellus,vanellus,,Northern Lapwing,Grzegorz Lorek,Poland,"Gmina Białośliwie, Powiat pilski, Wielkopolskie",53.1057,17.175,60,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/576586,//www.xeno-canto.org/576586/download,XC576586-skarpa.czajka.4.14.23.08.skarpa.ZOOM0004.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576586-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576586-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576586-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576586-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:01,04:14,2019-08-23,2020-07-17,[''],Nocturnal recording at the edge of large river valley. Recorder Zoom H1.,no,no
575745,Vanellus,vanellus,,Northern Lapwing,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,alarm call,//www.xeno-canto.org/575745,//www.xeno-canto.org/575745/download,XC575745-Vanneau huppe un cri alarme pose +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575745-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575745-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575745-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575745-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,08:30,2020-07-09,2020-07-14,[''],,yes,no
575744,Vanellus,vanellus,,Northern Lapwing,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,flight call,//www.xeno-canto.org/575744,//www.xeno-canto.org/575744/download,XC575744-Vanneau huppe cris de vol ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575744-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575744-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575744-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575744-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:48,08:30,2020-07-09,2020-07-14,[''],,yes,no
575743,Vanellus,vanellus,,Northern Lapwing,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,call,//www.xeno-canto.org/575743,//www.xeno-canto.org/575743/download,XC575743-Vanneau huppe cris ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575743-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575743-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575743-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575743-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,08:30,2020-07-09,2020-07-14,[''],,yes,no
