id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
577944,Gavia,stellata,,Red-throated Loon,Alan Dalton,Sweden,Hällögern; Västerbotten,64.191,21.113,0,flight call,//www.xeno-canto.org/577944,//www.xeno-canto.org/577944/download,XC577944-Red T Diver 21st July.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577944-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577944-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577944-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577944-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,03:30,2020-07-21,2020-07-21,"['Sterna paradisaea', 'Chroicocephalus ridibundus']",,no,no
576931,Gavia,stellata,,Red-throated Loon,Alan Dalton,Sweden,Hällögern; Västerbotten,64.191,21.113,0,flight call,//www.xeno-canto.org/576931,//www.xeno-canto.org/576931/download,XC576931-Red T Diver 17 July.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC576931-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC576931-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC576931-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC576931-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:50,22:30,2020-07-17,2020-07-18,['Sterna paradisaea'],At least two birds overhead.,no,no
568876,Gavia,stellata,,Red-throated Loon,Stein Ø. Nilsen,Norway,"Lake Prestvannet, Tromsø, Troms",69.6591,18.9353,100,"call, song",//www.xeno-canto.org/568876,//www.xeno-canto.org/568876/download,XC568876-SNI-308_01-14062020-SMÅLOM-prestvann.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568876-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568876-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568876-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568876-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,6:30,06:00,2020-06-14,2020-06-16,[''],"SD MixPre3 II and Telinga MK2 Stereo mic in parabola, 32 bit floatfile wav to mp3.",yes,no
533613,Gavia,stellata,,Red-throated Loon,Lars Edenius,Sweden,"Vithatten, Skellefteå, Västerbottens län",65.1878,19.6687,320,flight call,//www.xeno-canto.org/533613,//www.xeno-canto.org/533613/download,XC533613-Smålom_04.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC533613-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC533613-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC533613-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC533613-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,05:00,2019-05-22,2020-03-09,['Numenius arquata'],,no,no
523612,Gavia,stellata,,Red-throated Loon,Stein Ø. Nilsen,Norway,"Slettnes wetland, Karlsøy, Troms",70.1843,19.8821,20,"adult, flight call, sex uncertain, take off-call",//www.xeno-canto.org/523612,//www.xeno-canto.org/523612/download,XC523612-20190519-040947-SMÅLOM-takeoff-SLETTNES-KARLSØY.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC523612-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC523612-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC523612-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC523612-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,04:00,2019-05-19,2020-02-01,['Pluvialis apricaria'],Wetland area,yes,no
514047,Gavia,stellata,,Red-throated Loon,Timo Janhonen,Denmark,"Zackenberg Research Station, Greenland",74.4697,-20.5743,30,"adult, call, song",//www.xeno-canto.org/514047,//www.xeno-canto.org/514047/download,XC514047-Gavste_ä_Zackenberg_1221_01jul2018.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KZQAYURRFG/ffts/XC514047-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KZQAYURRFG/ffts/XC514047-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KZQAYURRFG/ffts/XC514047-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KZQAYURRFG/ffts/XC514047-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,12:30,2018-07-01,2019-12-30,[''],Calls given in flight.,yes,no
495717,Gavia,stellata,,Red-throated Loon,brickegickel,Norway,"Vadsø, Finnmark",70.1082,29.8567,80,"alarm call, flight call",//www.xeno-canto.org/495717,//www.xeno-canto.org/495717/download,XC495717-190825_08Sterntaucher.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC495717-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC495717-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC495717-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC495717-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:39,08:00,2019-08-25,2019-09-03,['Anthus pratensis'],,yes,no
487876,Gavia,stellata,,Red-throated Loon,Stanislas Wroza,Iceland,"Reykhólar, Westfjords Region",65.446,-22.1853,10,"alarm call, call, song",//www.xeno-canto.org/487876,//www.xeno-canto.org/487876/download,XC487876-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Plongeon catmarin divers (3).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487876-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487876-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487876-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487876-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:42,05:00,2018-07-19,2019-07-17,[''],,yes,no
487873,Gavia,stellata,,Red-throated Loon,Stanislas Wroza,Iceland,"Reykhólar, Westfjords Region",65.446,-22.1853,10,"alarm call, call, song",//www.xeno-canto.org/487873,//www.xeno-canto.org/487873/download,XC487873-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Plongeon catmarin  (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487873-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487873-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487873-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487873-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,05:00,2018-07-19,2019-07-17,[''],,yes,no
487872,Gavia,stellata,,Red-throated Loon,Stanislas Wroza,Iceland,"Reykhólar, Westfjords Region",65.446,-22.1853,10,"alarm call, call, song",//www.xeno-canto.org/487872,//www.xeno-canto.org/487872/download,XC487872-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Plongeon catmarin  (1).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487872-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487872-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487872-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487872-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:56,05:00,2018-07-19,2019-07-17,[''],,yes,no
