id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575836,Loxia,curvirostra,,Red Crossbill,Charlie Bodin,France,"Arvieux, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.7679,6.7561,1900,song,//www.xeno-canto.org/575836,//www.xeno-canto.org/575836/download,XC575836-Bec-croisé chant2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575836-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575836-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575836-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575836-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:06,18:30,2020-07-12,2020-07-14,[''],,yes,no
575835,Loxia,curvirostra,,Red Crossbill,Charlie Bodin,France,"Arvieux, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.7679,6.7561,1900,song,//www.xeno-canto.org/575835,//www.xeno-canto.org/575835/download,XC575835-Bec-croisé chant1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575835-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575835-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575835-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC575835-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,18:30,2020-07-12,2020-07-14,[''],,yes,no
575768,Loxia,curvirostra,"N3, N11",Red Crossbill,Stanislas Wroza,Estonia,"Sääre, Saaremaa Parish, Saare maakond",57.9132,22.0561,0,flight call,//www.xeno-canto.org/575768,//www.xeno-canto.org/575768/download,XC575768-bec croise des sapins vol N3 N11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575768-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575768-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575768-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575768-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,06:00,2020-07-10,2020-07-14,[''],Migration over Baltic sea,yes,no
575767,Loxia,curvirostra,"N3, N11",Red Crossbill,Stanislas Wroza,Estonia,"Sääre, Saaremaa Parish, Saare maakond",57.9132,22.0561,0,flight call,//www.xeno-canto.org/575767,//www.xeno-canto.org/575767/download,XC575767-Bec croise des sapins vol N3 N11 et peut etre autres longue migration au dessus de la Baltique.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575767-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575767-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575767-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575767-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:46,06:00,2020-07-10,2020-07-14,[''],Migration over Baltic sea,yes,no
574674,Loxia,curvirostra,,Red Crossbill,Aidan Place,United States,"Diamondfield Jack Campground, South Hills, Sawtooth National Forest, Cassia County, Idaho",42.1724,-114.2769,2100,"call, flight call",//www.xeno-canto.org/574674,//www.xeno-canto.org/574674/download,XC574674-RECR (type 2) ID.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EPXMBJVSYK/ffts/XC574674-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EPXMBJVSYK/ffts/XC574674-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EPXMBJVSYK/ffts/XC574674-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EPXMBJVSYK/ffts/XC574674-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:05,18:00,2020-06-28,2020-07-10,['Sitta canadensis'],Type 2,yes,no
573535,Loxia,curvirostra,,Red Crossbill,Giuseppe Speranza,Italy,"Trento, Trentino, Trentino-Alto Adige",46.0026,11.0318,1800,call,//www.xeno-canto.org/573535,//www.xeno-canto.org/573535/download,XC573535-200704_1498-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573535-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573535-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573535-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573535-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,08:00,2020-07-04,2020-07-05,[''],,yes,no
572006,Loxia,curvirostra,"N3, N8, N11",Red Crossbill,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,flight call,//www.xeno-canto.org/572006,//www.xeno-canto.org/572006/download,XC572006-Bec croise vol N3 N8 N11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572006-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572006-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572006-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572006-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,12:00,2020-06-27,2020-06-27,[''],,yes,no
572005,Loxia,curvirostra,"N3, N4, N5, N6, N8, N11, N15",Red Crossbill,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,flight call,//www.xeno-canto.org/572005,//www.xeno-canto.org/572005/download,XC572005-Bec croise des sapins gros groupe N3 N4 N5 possible N6 N8 N15.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572005-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572005-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572005-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572005-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,12:00,2020-06-27,2020-06-27,[''],Crazy medley,yes,no
569401,Loxia,curvirostra,N8,Red Crossbill,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,flight call,//www.xeno-canto.org/569401,//www.xeno-canto.org/569401/download,XC569401-Bec croise vol N8.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569401-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569401-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569401-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569401-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,07:30,2020-06-14,2020-06-17,[''],,yes,no
569400,Loxia,curvirostra,N8,Red Crossbill,Stanislas Wroza,France,"La Giettaz, Savoie, Auvergne-Rhône-Alpes",45.8637,6.4601,1700,flight call,//www.xeno-canto.org/569400,//www.xeno-canto.org/569400/download,XC569400-Bec croise vol N8 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569400-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569400-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569400-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569400-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,07:30,2020-06-14,2020-06-17,[''],,yes,no
