id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575433,Locustella,fluviatilis,,River Warbler,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,call,//www.xeno-canto.org/575433,//www.xeno-canto.org/575433/download,XC575433-Locustelle fluviatile un cri.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575433-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575433-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575433-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575433-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:00,21:00,2020-07-06,2020-07-13,[''],,yes,no
572417,Locustella,fluviatilis,,River Warbler,Sebastian Andrejeff,Estonia,"Kamari, Põltsamaa",58.5826,25.9989,40,song,//www.xeno-canto.org/572417,//www.xeno-canto.org/572417/download,XC572417-Locflu 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572417-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572417-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572417-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572417-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,23:00,2020-06-25,2020-06-29,[''],,no,no
572038,Locustella,fluviatilis,,River Warbler,Tomas Berg,Sweden,"Härjedalen, Jämtlands län",62.6125,12.4981,650,song,//www.xeno-canto.org/572038,//www.xeno-canto.org/572038/download,XC572038-Default_flod20200628-000207-0-0-0.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GUSMXWVXPW/ffts/XC572038-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GUSMXWVXPW/ffts/XC572038-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GUSMXWVXPW/ffts/XC572038-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GUSMXWVXPW/ffts/XC572038-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,00:05,2020-06-28,2020-06-28,[''],,no,no
570087,Locustella,fluviatilis,,River Warbler,Erik Jonsson,Sweden,"Kaga, Linköping Municipality, Östergötlands län",58.4535,15.5289,40,song,//www.xeno-canto.org/570087,//www.xeno-canto.org/570087/download,"XC570087-Flodsångare, Kaga.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/UKLVCMTPVP/ffts/XC570087-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UKLVCMTPVP/ffts/XC570087-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UKLVCMTPVP/ffts/XC570087-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UKLVCMTPVP/ffts/XC570087-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:24,03:03,2020-06-20,2020-06-20,['Luscinia luscinia'],,no,no
575434,Locustella,fluviatilis,,River Warbler,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,"call, flight call",//www.xeno-canto.org/575434,//www.xeno-canto.org/575434/download,XC575434-Locustelle fluviatile vol +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575434-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575434-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575434-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575434-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,21:00,2020-07-06,2020-07-13,[''],,yes,no
574962,Locustella,fluviatilis,,River Warbler,Samuel Persson,Sweden,"Visteby, Uppsala, Uppsala län",59.8923,17.8825,10,song,//www.xeno-canto.org/574962,//www.xeno-canto.org/574962/download,XC574962-flodsångare_enbyle_03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AVICFXQCGR/ffts/XC574962-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AVICFXQCGR/ffts/XC574962-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AVICFXQCGR/ffts/XC574962-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AVICFXQCGR/ffts/XC574962-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:30,23:00,2020-06-27,2020-07-11,[''],,no,no
574585,Locustella,fluviatilis,,River Warbler,Karol Kustusch,Poland,"Gmina Klwów (near  Ligęzów), przysuski, Mazowieckie",51.5522,20.5941,130,"adult, song",//www.xeno-canto.org/574585,//www.xeno-canto.org/574585/download,XC574585-Locustella fluviatilis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UAJQCCPUIQ/ffts/XC574585-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UAJQCCPUIQ/ffts/XC574585-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UAJQCCPUIQ/ffts/XC574585-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UAJQCCPUIQ/ffts/XC574585-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,22:00,2020-07-07,2020-07-09,[''],Wet meadow.,no,no
573228,Locustella,fluviatilis,,River Warbler,Benjamin Drillat,Latvia,"Engures pagasts, Engure Municipality",57.2608,23.1345,0,song,//www.xeno-canto.org/573228,//www.xeno-canto.org/573228/download,"XC573228-Locustelle fluviatile, chant, 200619-082011.WAV.Mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/TVVXDBKYFX/ffts/XC573228-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TVVXDBKYFX/ffts/XC573228-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TVVXDBKYFX/ffts/XC573228-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TVVXDBKYFX/ffts/XC573228-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:14,07:00,2020-06-19,2020-07-03,[''],,yes,unknown
571439,Locustella,fluviatilis,,River Warbler,Baltasar Pinheiro,Sweden,"Visteby, Uppsala, Uppsala län",59.8907,17.8815,10,"adult, male, song",//www.xeno-canto.org/571439,//www.xeno-canto.org/571439/download,XC571439-Flodsångare.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WZIAGHEMKS/ffts/XC571439-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WZIAGHEMKS/ffts/XC571439-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WZIAGHEMKS/ffts/XC571439-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WZIAGHEMKS/ffts/XC571439-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:16,23:00,2020-06-24,2020-06-25,[''],,no,no
570485,Locustella,fluviatilis,,River Warbler,Anders Westman,Sweden,"Rankhyttan, Falun Municipality, Dalarnas län",60.4719,15.7242,130,song,//www.xeno-canto.org/570485,//www.xeno-canto.org/570485/download,XC570485-Flodsångare_sång_2020-06-21_Rankhyttan Vika_200621_03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OIHBBOOHZT/ffts/XC570485-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OIHBBOOHZT/ffts/XC570485-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OIHBBOOHZT/ffts/XC570485-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OIHBBOOHZT/ffts/XC570485-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:16,00:10,2020-06-21,2020-06-21,[''],"A roedeer in the background. 
40 cm parabola with Sony PCM-M10, bird at approx 15 m distance.",no,no
