id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
550328,Columba,livia,,Rock Dove,columbidae74,Serbia,"Municipality of Crveni Krst (near  Niš), Nišavski okrug",,,194,"call, life stage uncertain, sex uncertain, song, subsong, wing flaps",//www.xeno-canto.org/550328,//www.xeno-canto.org/550328/download,XC550328-rockpigeon1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OOVUUNZDMQ/ffts/XC550328-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OOVUUNZDMQ/ffts/XC550328-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OOVUUNZDMQ/ffts/XC550328-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OOVUUNZDMQ/ffts/XC550328-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,17:30,2020-04-25,2020-04-25,['Passer domesticus'],,yes,no
559541,Columba,livia,,Rock Dove,Stein Ø. Nilsen,Norway,"Tromsø, Tromsø, Troms og Finnmark",69.6514,18.9625,5,"adult, male, song",//www.xeno-canto.org/559541,//www.xeno-canto.org/559541/download,XC559541-SNI-220-14052020-BYDUE-fiskemåke-tromsø_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC559541-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC559541-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC559541-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC559541-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,4:27,09:00,2020-05-14,2020-05-18,['Larus canus'],Feral pigeons in city center,yes,no
550346,Columba,livia,,Rock Dove,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Reserva do Setor Sítio de Recreio Caraíbas-Goiânia, Goiás",-16.5631,-49.285,750,"adult, sex uncertain, song",//www.xeno-canto.org/550346,//www.xeno-canto.org/550346/download,XC550346-18-04-2020 13e29 pombo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC550346-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC550346-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC550346-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC550346-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,13:29,2020-04-18,2020-04-25,[''],,yes,no
547588,Columba,livia,,Rock Dove,Andrew Spencer,India,"Yusmarg, Jammu and Kashmir",33.8277,74.666,,song,//www.xeno-canto.org/547588,//www.xeno-canto.org/547588/download,XC547588-Rock Pigeon2019-6-26-1t.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547588-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547588-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547588-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547588-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:55,6:05,2019-06-26,2020-04-19,[''],Archived at the Macaulay Library as ML174742101,yes,no
547561,Columba,livia,,Rock Dove,Andrew Spencer,India,"Forest Research Institute (FRI), New Forest Campus, Uttarakhand",30.3444,77.9978,,call,//www.xeno-canto.org/547561,//www.xeno-canto.org/547561/download,XC547561-Rock Pigeon2019-4-12-1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547561-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547561-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547561-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC547561-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:35,6:14,2019-04-12,2020-04-19,[''],Archived at the Macaulay Library as ML174929351,yes,no
541143,Columba,livia,,Rock Dove,Marie-Lan Taÿ Pamart,France,"Paris, Arrondissement de Paris, Île-de-France",48.8406,2.3479,50,"adult, call, sex uncertain",//www.xeno-canto.org/541143,//www.xeno-canto.org/541143/download,XC541143-COLLIV-Lagarde-20200403-1021.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC541143-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC541143-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC541143-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC541143-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,A,0:28,10:30,2020-04-03,2020-04-03,[''],"Pedro the friendly feral pigeon begging for food at the window.

Distance: ~30cm

Background noise: vacuum cleaner

Equipment: Olympus LS-12 (internal mics)",no,no
513867,Columba,livia,,Rock Dove,Leonardo Ordóñez-Delgado,Ecuador,"Macas, Morona Santiago",-2.2916,-78.1164,1000,"adult, male, song",//www.xeno-canto.org/513867,//www.xeno-canto.org/513867/download,XC513867-4. Columba livia XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC513867-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC513867-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC513867-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC513867-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,10:00,2019-11-10,2019-12-29,['Notiochelidon cyanoleuca'],,yes,no
511878,Columba,livia,,Rock Dove,Phoenix Birder,United States,"Wittmann, Maricopa County, Arizona",33.7241,-112.5338,480,"begging call, life stage uncertain, sex uncertain",//www.xeno-canto.org/511878,//www.xeno-canto.org/511878/download,XC511878-RoPi.2019.12.13.AZ.Maricopa.WittmanOffRoad.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC511878-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC511878-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC511878-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC511878-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,12:00,2019-12-13,2019-12-14,[''],"4 Adults watched this 5th individual squeal under a canal bridge.  I think it was a near adult who was being weaned from feeding by the adults.

Sound Devices MixPre-3 Wildtronics Stereo Model #WTPMMSA 22” Parabolic Reflector, phoenixbirder@gmail.com",yes,no
485507,Columba,livia,,Rock Dove,Paul Marvin,United States,"J Street Marina, Chula Vista, San Diego Co, California",32.6185,-117.1029,0,song,//www.xeno-canto.org/485507,//www.xeno-canto.org/485507/download,"XC485507-Rock Dove -CA, J Street Marina, July 05, 2019, 0750 AM.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC485507-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC485507-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC485507-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC485507-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,07:50,2019-07-05,2019-07-09,[''],two dozen,yes,no
463506,Columba,livia,,Rock Dove,Manuel Grosselet,Israel,"Ezor Akko (near  Acre), Akko, North District",32.9202,35.0688,10,begging call,//www.xeno-canto.org/463506,//www.xeno-canto.org/463506/download,XC463506-Rock Pigeon Begging Calls acros march 25 944.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC463506-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC463506-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC463506-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC463506-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,09:30,2019-03-25,2019-03-26,[''],"Wildtronics mono amplified
Tascam DR05",yes,no
