id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
553773,Corvus,frugilegus,,Rook,Stanislas Wroza,France,"Saclay, Essonne, Île-de-France",48.7429,2.1591,150,"flight call, nocturnal flight call",//www.xeno-canto.org/553773,//www.xeno-canto.org/553773/download,XC553773-2018-04-06 Saclay corbeau freux.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553773-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553773-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553773-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553773-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,01:00,2018-04-06,2020-05-03,[''],,no,no
553772,Corvus,frugilegus,,Rook,Stanislas Wroza,France,"Saclay, Essonne, Île-de-France",48.7429,2.1591,150,"flight call, nocturnal flight call",//www.xeno-canto.org/553772,//www.xeno-canto.org/553772/download,XC553772-2018-04-06 Saclay corbeau freux 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553772-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553772-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553772-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553772-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,01:00,2018-04-06,2020-05-03,[''],,no,no
575096,Corvus,frugilegus,,Rook,Sławomir Karpicki-Ignatowski,Poland,"Poznań, Poznań, Wielkopolskie",52.3881,16.9843,80,"call, sex uncertain",//www.xeno-canto.org/575096,//www.xeno-canto.org/575096/download,XC575096-20200711_085003 gawron -0.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC575096-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC575096-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC575096-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC575096-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,09:00,2020-07-11,2020-07-12,['Coloeus monedula'],High pass filtr 400Hz/48dB,yes,no
569904,Corvus,frugilegus,frugilegus,Rook,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0148,5.0378,0,call,//www.xeno-canto.org/569904,//www.xeno-canto.org/569904/download,XC569904-Roek 20200619-01a X.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC569904-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC569904-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC569904-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC569904-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,10:00,2020-06-19,2020-06-19,[''],,no,no
565106,Corvus,frugilegus,frugilegus,Rook,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0148,5.0379,0,call,//www.xeno-canto.org/565106,//www.xeno-canto.org/565106/download,XC565106-Roek 20200604-01a X.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC565106-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC565106-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC565106-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC565106-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,07:00,2020-06-04,2020-06-04,[''],,yes,no
555612,Corvus,frugilegus,,Rook,Michał Jezierski,United Kingdom," Rearsby, Leicestershire, England",52.7278,-1.0365,70,call,//www.xeno-canto.org/555612,//www.xeno-canto.org/555612/download,XC555612-01042020_cofru_call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC555612-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC555612-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC555612-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC555612-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,00:05,2020-04-01,2020-05-09,[''],"**Comments**: Recorded during noc-mig monitoring. Bird in a rookery.

**Recording modifications**:  Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: Rookery in a small village copse.

**Behaviour**: N/A.

**Sex (with ID cues)**: N/A.

**Weather and other conditions**: Clear night

**Comments on other birds**: N/A.",no,no
549730,Corvus,frugilegus,,Rook,B Whyte,United Kingdom,"Home, Highland Council, Scotland",57.4706,-4.163,70,call,//www.xeno-canto.org/549730,//www.xeno-canto.org/549730/download,XC549730-nocrook.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RWLOMPENJC/ffts/XC549730-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RWLOMPENJC/ffts/XC549730-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RWLOMPENJC/ffts/XC549730-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RWLOMPENJC/ffts/XC549730-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,03:00,2020-04-24,2020-04-24,[''],Likely from the active Rookery only a short distance away to the North,no,unknown
549664,Corvus,frugilegus,,Rook,Vincent Pourchaire,France,"Lyon, Rhône, Auvergne-Rhône-Alpes",45.7681,4.8639,170,"begging call, call, juvenile",//www.xeno-canto.org/549664,//www.xeno-canto.org/549664/download,XC549664-Freux jeunes 03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549664-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549664-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549664-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549664-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:24,07:00,2020-04-24,2020-04-24,[''],Jeunes au nid.,yes,no
549663,Corvus,frugilegus,,Rook,Vincent Pourchaire,France,"Lyon, Rhône, Auvergne-Rhône-Alpes",45.7681,4.8639,170,"begging call, call, juvenile",//www.xeno-canto.org/549663,//www.xeno-canto.org/549663/download,XC549663-Freux jeunes 02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549663-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549663-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549663-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549663-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:23,07:00,2020-04-24,2020-04-24,[''],Jeunes au nid.,yes,no
549662,Corvus,frugilegus,,Rook,Vincent Pourchaire,France,"Lyon, Rhône, Auvergne-Rhône-Alpes",45.7681,4.8639,170,"begging call, call, juvenile",//www.xeno-canto.org/549662,//www.xeno-canto.org/549662/download,XC549662-Freux jeunes 01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549662-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549662-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549662-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OIRPLEZESB/ffts/XC549662-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:16,07:00,2020-04-24,2020-04-24,[''],Jeunes au nid.,yes,no
