id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576297,Anthus,trivialis,,Tree Pipit,Bodo Sonnenburg,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3057,13.7512,30,song,//www.xeno-canto.org/576297,//www.xeno-canto.org/576297/download,XC576297-baumpie0919.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC576297-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC576297-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC576297-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC576297-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,1:50,09:19,2020-07-16,2020-07-16,"['Oriolus oriolus', 'Linaria cannabina', 'Muscicapa striata']",,yes,no
575762,Anthus,trivialis,,Tree Pipit,Stanislas Wroza,Estonia,"Koigi, Saaremaa Parish, Saare maakond",58.4927,22.9727,10,"alarm call, metallic alarm",//www.xeno-canto.org/575762,//www.xeno-canto.org/575762/download,XC575762-Pipit des arbres alarme tres metallique.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575762-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575762-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575762-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575762-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:26,14:00,2020-07-10,2020-07-14,[''],,yes,no
574306,Anthus,trivialis,,Tree Pipit,Charlie Bodin,France,"Poligny, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.6682,6.0177,1400,alarm call,//www.xeno-canto.org/574306,//www.xeno-canto.org/574306/download,XC574306-Pipit des arbres alarme poligny.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574306-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574306-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574306-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574306-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:33,20:00,2020-07-04,2020-07-08,[''],,yes,no
554140,Anthus,trivialis,,Tree Pipit,Stanislas Wroza,France,"Davron, Yvelines, Île-de-France",48.8659,1.9428,110,flight call,//www.xeno-canto.org/554140,//www.xeno-canto.org/554140/download,XC554140-Pipit des arbres migr.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554140-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554140-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554140-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554140-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:23,07:00,2020-05-04,2020-05-04,[''],,yes,no
554139,Anthus,trivialis,,Tree Pipit,Stanislas Wroza,France,"Davron, Yvelines, Île-de-France",48.8659,1.9428,110,flight call,//www.xeno-canto.org/554139,//www.xeno-canto.org/554139/download,XC554139-Pipit des arbres cri de vol tres court.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554139-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554139-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554139-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC554139-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:26,07:00,2020-05-04,2020-05-04,[''],,yes,no
553867,Anthus,trivialis,,Tree Pipit,Vincent Palomares,France,"Saint-Rambert-d'Albon, Drôme, Auvergne-Rhône-Alpes",45.2867,4.8289,160,"alarm call, call",//www.xeno-canto.org/553867,//www.xeno-canto.org/553867/download,XC553867-Pipit_des_arbres_cris_adc_2.5.20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553867-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553867-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553867-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553867-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,09:00,2020-05-02,2020-05-03,['Alauda arvensis'],,yes,no
553865,Anthus,trivialis,,Tree Pipit,Vincent Palomares,France,"Saint-Rambert-d'Albon, Drôme, Auvergne-Rhône-Alpes",45.2867,4.8289,160,flight call,//www.xeno-canto.org/553865,//www.xeno-canto.org/553865/download,XC553865-Pipit_des_arbres_cris_3.5.20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553865-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553865-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553865-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553865-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:00,2020-05-03,2020-05-03,[''],,yes,no
553711,Anthus,trivialis,,Tree Pipit,Stanislas Wroza,France,Le Grau du Roi,43.5067,4.1273,0,flight call,//www.xeno-canto.org/553711,//www.xeno-canto.org/553711/download,XC553711-2018-03-31 Espiguette pipit des arbres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553711-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553711-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553711-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553711-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,07:00,2018-03-31,2020-05-03,[''],,no,no
552621,Anthus,trivialis,,Tree Pipit,MERCIER Christophe,France,"Panazol, Haute-Vienne, Nouvelle-Aquitaine",45.8271,1.293,300,"M call and classic call, nocturnal flight call",//www.xeno-canto.org/552621,//www.xeno-canto.org/552621/download,XC552621-Pipit des arbres atypique en M-caille des blés-250420-051223.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC552621-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC552621-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC552621-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC552621-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:48,05:12,2020-04-25,2020-05-01,[''],with Coturnix coturnix,no,no
551783,Anthus,trivialis,,Tree Pipit,MERCIER Christophe,France,"Panazol, Haute-Vienne, Nouvelle-Aquitaine",45.8271,1.293,300,"M call, nocturnal flight call",//www.xeno-canto.org/551783,//www.xeno-canto.org/551783/download,XC551783-240420-045122-a analyser-XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC551783-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC551783-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC551783-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC551783-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,04:51,2020-04-24,2020-04-28,[''],,no,no
