id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575726,Motacilla,flava,thunbergi,Western Yellow Wagtail,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,flight call,//www.xeno-canto.org/575726,//www.xeno-canto.org/575726/download,XC575726-Bergeronnette printaniere thunbergi vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575726-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575726-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575726-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575726-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,08:30,2020-07-09,2020-07-14,[''],,yes,no
574733,Motacilla,flava,feldegg,Western Yellow Wagtail,Rune Sø Neergaard,Denmark,"Grenen, Skagen",57.743,10.637,0,"flight call, male",//www.xeno-canto.org/574733,//www.xeno-canto.org/574733/download,XC574733-feldegg.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GOLPVRZWUC/ffts/XC574733-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GOLPVRZWUC/ffts/XC574733-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GOLPVRZWUC/ffts/XC574733-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GOLPVRZWUC/ffts/XC574733-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,07:30,2020-05-22,2020-07-10,[''],Fifth danish record if accepted: https://birdingnj.blogspot.com/2020/05/balkanvip-endnu-engang-pa-grenen.html,yes,no
574554,Motacilla,flava,,Western Yellow Wagtail,Itziar Gutiérrez,Spain,"Villarejo, La Rioja",42.3762,-2.8708,750,call,//www.xeno-canto.org/574554,//www.xeno-canto.org/574554/download,XC574554-DSCN0126 Lavandera Boyera adulta reclamando. Villarejo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HMJIMVISCP/ffts/XC574554-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HMJIMVISCP/ffts/XC574554-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HMJIMVISCP/ffts/XC574554-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HMJIMVISCP/ffts/XC574554-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:20,19:25,2020-07-01,2020-07-09,[''],,yes,no
552115,Motacilla,flava,feldegg,Western Yellow Wagtail,Jonas Bonnedahl,Sweden,Ottenby,56.1958,16.397,0,flight call,//www.xeno-canto.org/552115,//www.xeno-canto.org/552115/download,XC552115-feldeggkortpjodd.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FJADZOZREQ/ffts/XC552115-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FJADZOZREQ/ffts/XC552115-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FJADZOZREQ/ffts/XC552115-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FJADZOZREQ/ffts/XC552115-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,09:00,2020-04-27,2020-04-29,[''],Shortened intervals between vocalizations.,yes,no
548735,Motacilla,flava,,Western Yellow Wagtail,jesus carrion,Spain,"Valencia city, Comunidad Valenciana",39.4696,-0.3522,10,nocturnal flight call,//www.xeno-canto.org/548735,//www.xeno-canto.org/548735/download,"XC548735-Reclamo T6, 1938, 02_01 (online-audio-converter.com).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC548735-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC548735-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC548735-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC548735-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,02:01,2020-04-21,2020-04-21,[''],"Does anyone know what this could be? 

Nocturnal recording in the city. Unedited",no,no
547918,Motacilla,flava,,Western Yellow Wagtail,Pierre Foulquier,France,"Hôtel du Musée, Arles, Provence-Alpes-Côte d'Azur",43.6791,4.628,10,flight call,//www.xeno-canto.org/547918,//www.xeno-canto.org/547918/download,XC547918-printa_arles.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC547918-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC547918-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC547918-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC547918-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,07:30,2019-09-15,2020-04-19,[''],,no,no
542091,Motacilla,flava,,Western Yellow Wagtail,Pierrick Devoucoux,France,"Montpellier, Hérault, Languedoc-Roussillon",43.6108,3.8767,50,flight call,//www.xeno-canto.org/542091,//www.xeno-canto.org/542091/download,XC542091-200404_0092_Moticilla flava_fc_7h22.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC542091-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC542091-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC542091-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC542091-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,07:22,2020-04-04,2020-04-05,[''],,no,no
535940,Motacilla,flava,,Western Yellow Wagtail,Stanislas Wroza,France,"Lège-Cap-Ferret, Gironde, Nouvelle-Aquitaine",44.6562,-1.2553,10,flight call,//www.xeno-canto.org/535940,//www.xeno-canto.org/535940/download,XC535940-2018-10-14 Cap Ferret Bergeronnettes printanieres flava migr.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535940-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535940-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535940-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535940-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:55,08:30,2018-10-17,2020-03-18,[''],,yes,no
535936,Motacilla,flava,,Western Yellow Wagtail,Stanislas Wroza,France,"Lège-Cap-Ferret, Gironde, Nouvelle-Aquitaine",44.6562,-1.2553,10,flight call,//www.xeno-canto.org/535936,//www.xeno-canto.org/535936/download,XC535936-2018-10-14 Cap Ferret Bergeronnette printaniere flava migr.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535936-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535936-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535936-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535936-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:24,08:30,2018-10-17,2020-03-18,[''],,yes,no
535927,Motacilla,flava,,Western Yellow Wagtail,Stanislas Wroza,France,"Lège-Cap-Ferret, Gironde, Nouvelle-Aquitaine",44.6562,-1.2553,10,flight call,//www.xeno-canto.org/535927,//www.xeno-canto.org/535927/download,XC535927-2018-10-16 Cap Ferret Bergeronnette printaniere migr.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535927-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535927-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535927-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC535927-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,08:30,2018-10-17,2020-03-18,[''],,yes,no
