id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576193,Emberiza,citrinella,,Yellowhammer,Mathieu André,France,"Flines-lès-Mortagne, Nord, Hauts-de-France",50.5271,3.4792,30,song,//www.xeno-canto.org/576193,//www.xeno-canto.org/576193/download,XC576193-072020Bruant jaune.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JTUVCJHLRE/ffts/XC576193-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JTUVCJHLRE/ffts/XC576193-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JTUVCJHLRE/ffts/XC576193-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JTUVCJHLRE/ffts/XC576193-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:58,21:30,2020-07-13,2020-07-15,[''],,yes,unknown
576020,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lleida, Cataluña",42.728,0.7934,1200,song,//www.xeno-canto.org/576020,//www.xeno-canto.org/576020/download,XC576020-a 14 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576020-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576020-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576020-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576020-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,12:30,2020-07-14,2020-07-15,[''],,yes,no
576019,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lleida, Cataluña",42.728,0.7934,1200,song,//www.xeno-canto.org/576019,//www.xeno-canto.org/576019/download,XC576019-a  14 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576019-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576019-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576019-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576019-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,12:30,2020-07-14,2020-07-15,[''],,yes,no
575933,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575933,//www.xeno-canto.org/575933/download,XC575933-emb cit 12 12.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575933-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575933-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575933-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575933-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,16:00,2020-07-12,2020-07-14,[''],,yes,no
575932,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575932,//www.xeno-canto.org/575932/download,XC575932-emb cit 12 11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575932-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575932-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575932-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575932-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,16:00,2020-07-12,2020-07-14,[''],,yes,no
575930,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575930,//www.xeno-canto.org/575930/download,XC575930-emb cit 12 10.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575930-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575930-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575930-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575930-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,16:00,2020-07-12,2020-07-14,[''],,yes,no
575927,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575927,//www.xeno-canto.org/575927/download,XC575927-emb cit 12 9.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575927-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575927-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575927-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575927-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,16:00,2020-07-12,2020-07-14,[''],,yes,no
575926,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575926,//www.xeno-canto.org/575926/download,XC575926-emb cit 12 8.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575926-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575926-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575926-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575926-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,16:00,2020-07-12,2020-07-14,[''],,yes,no
575925,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,call,//www.xeno-canto.org/575925,//www.xeno-canto.org/575925/download,XC575925-d 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575925-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575925-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575925-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575925-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,16:00,2020-07-12,2020-07-14,[''],,yes,no
575919,Emberiza,citrinella,,Yellowhammer,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,song,//www.xeno-canto.org/575919,//www.xeno-canto.org/575919/download,XC575919-emb cit 12 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575919-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575919-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575919-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575919-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,16:00,2020-07-12,2020-07-14,[''],,yes,no
